Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/actions/pointer_input.py	32	19	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/alert.py	22	13	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/by.py	10	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/desired_capabilities.py	15	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/html5/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/html5/application_cache.py	13	2	0	85%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/keys.py	67	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/proxy.py	141	94	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/service.py	105	37	0	65%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/touch_actions.py	43	26	0	40%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/common/utils.py	67	21	0	69%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/edge/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/edge/service.py	12	8	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/edge/webdriver.py	23	14	0	39%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/extension_connection.py	41	22	0	46%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/firefox_binary.py	120	100	0	17%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/firefox_profile.py	237	192	0	19%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/options.py	90	58	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/remote_connection.py	10	7	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/service.py	10	5	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/webdriver.py	105	76	0	28%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/firefox/webelement.py	6	2	0	67%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/ie/__init__.py	0	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/ie/options.py	119	58	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/ie/service.py	13	9	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/ie/webdriver.py	39	25	0	36%
/home/cashen563/.local/lib/python3.6/site-packages/selenium/webdriver/opera/__init__.py	0	0	0	100%
